,Cluster idx.,Number of recordings,Modal region,Modal tape index,Synoptic scale
0,-1,648,kaxeTi,219,"23.72359054455378, 205.07184459933256, 322.6807570908027, 382.6555628327832, 503.3663392627941, 685.7170937776935, 715.8635839355792, 867.8900366970829, 998.6172377968738, 1183.9131788366979"
1,20,107,guria,70,"38.62232233488482, 188.09222916835546, 296.87343701608023, 352.78938377189087, 463.5603779195181, 523.6509308304358, 694.2338779949245, 902.6680303122217, 1181.4288815931864"
2,28,46,kaxeTi,151,"34.321776493956676, 191.78984717270683, 298.3941736821712, 351.93541827877095, 414.04761706150117, 495.1779903897685, 571.336352947102, 658.3347211813445, 725.7831009650089, 840.4140237024533, 955.7528245645569, 1177.6194040889504"
3,0,44,qarTli,67,"32.890844246615906, 201.3345053229265, 290.6593111675545, 310.1848372821265, 406.93826871539665, 490.1244715226653, 512.5632526389777, 616.7892249922102, 710.3616885675681, 723.6327855212862, 900.6186833002131, 924.2225040362636, 993.1676275802231, 1138.1675531946678"
4,95,36,raWa,57,"82.7028518901614, 289.6870492386411, 350.5286331818526, 414.92049167049396, 514.825193736061, 705.6438018898447, 881.1061305966637, 1129.3269597106987"
5,44,36,raWa,194,"33.33752792843011, 229.66552446255278, 322.2386858097375, 385.3979456438474, 483.5622504918653, 535.1116384417543, 694.7620802400727, 737.4651516419901, 881.0195003860355, 1006.681003101022, 1151.706444639731"
6,51,33,kaxeTi,9,"21.851475358663823, 242.02885736151447, 351.89674118993656, 489.0105359347955, 700.5130576558919, 801.2166807077658, 851.0309139607788, 908.6672442341214, 1175.657832786889"
7,47,32,samegrelo,3,"15.936969346288604, 213.92200243593265, 321.3138746186492, 365.87342394288356, 496.7847967515398, 698.1013653828255, 875.2341331761147, 884.4875848088114, 1185.3779683533319"
8,58,32,guria,169,"22.913889897381512, 246.0844408216752, 352.9319492448109, 500.06147429549907, 677.8273829865199, 712.1322959789893, 900.5504157494653, 1181.3199945418298"
9,16,26,kaxeTi,60,"33.29879310898818, 191.16964843592297, 243.7095074667012, 287.45067742025805, 341.1358185996483, 404.74586818603416, 512.60697529806, 706.5760884817541, 908.4143924213829, 1185.129458912897"
10,3,25,kaxeTi,15,"2.464887900801108, 21.072239898314987, 190.75061771909012, 519.1815005133434, 703.5265708521288, 869.0459918005901, 992.0001264810289, 1181.7953401570715, 1199.5140127028583"
11,41,25,aWara,218,"188.40001979782997, 328.8142809131434, 365.3210589551393, 504.4156613951304, 707.5322255052014, 859.4903490194721, 1037.4365426195834, 1182.1806904583013"
12,87,24,svaneTi,168,"22.919391356575158, 296.5427654525581, 360.8877166512377, 492.91415434017216, 686.2734138088127, 713.9868953797585, 850.8851040901567, 947.3826916832115, 1182.891177397049"
13,94,24,kaxeTi,159,"20.99042152274712, 224.90008112452057, 365.36917301428804, 487.278946137998, 520.4308593716373, 677.7235274369067, 717.7190404361671, 885.6180187951281, 1180.6030238681294"
14,67,23,kaxeTi,134,"19.3976906684999, 267.88318674540136, 349.90051662780775, 494.96930463939987, 706.8792300628243, 924.7629177396483, 1185.0034017145458"
15,9,23,Tbilisi,187,"37.88917328406536, 192.98906776565565, 260.5925666652733, 358.53854144653707, 441.6143936566716, 531.80146298248, 699.2970336954515, 738.2925497553086, 868.8877192665411, 1085.6885664984268"
16,23,21,kaxeTi,47,"23.729524882290793, 225.21155043771785, 318.49572018445235, 385.5009083284786, 490.07973765515356, 704.7041757662369, 869.4569785373643, 899.1738175331396, 985.6276000816233, 1187.3485311485772"
17,25,20,svaneTi,6,"15.091378542852851, 217.19155158248932, 324.702545268682, 384.91592986872325, 509.8548103360344, 700.5143860549464, 896.902716432122, 1186.5248391989762"
18,35,19,qarTli,162,"27.847244608253252, 156.15400679939208, 289.8455487391477, 379.9900903085156, 487.66811274485707, 686.8168423382691, 705.320165236571, 725.0469062379422, 878.5969520849847, 1187.3064570524841"
19,53,19,svaneTi,192,"22.654761938357158, 199.50064464034392, 301.47551628818616, 342.5767748567487, 383.5680090656024, 506.88229829058906, 698.5285857871039, 851.6249246206778, 970.3518879395906, 1182.8716871246233"
20,43,19,samegrelo,112,"19.200396041120907, 268.30306468835903, 329.66431932175925, 391.4901821169762, 475.04460244645253, 514.8020906271927, 690.4451226205688, 716.3572511812355, 883.9559166822381, 1183.6541645783477"
21,42,19,samegrelo,158,"18.90854176387064, 226.3029076805555, 319.743867215525, 387.7005627561386, 510.2135725305717, 696.8491329434036, 867.8111235696924, 946.9743174571855, 1185.7326010826873"
22,84,18,leCxumi,158,"22.564061918532328, 231.22913898970788, 349.2125072929696, 441.6078474965543, 521.9595044838766, 688.1907764967672, 712.8191714050223, 878.104159196482, 1183.4171199800899"
